context,result,question,A,B,C,D
"Ngày sinh nhật Thúy, mẹ đưa Thúy ra phố đồ chơi. Mẹ bảo Thúy chọn một thứ đồ chơi em thích nhất. Đi dọc gần hết phố đồ chơi, cô bé nhìn hoa cả mắt, vẫn không biết nên mua gì vì thứ nào em cũng thích. Đến cuối phố, thấy một bà cụ tóc bạc ngồi bán những con búp bê bằng vải giữa trời giá lạnh, Thúy kéo tay mẹ dừng lại. Bà cụ nhìn hai mẹ con Thúy, cười hiền hậu:
- Cháu mua búp bê cho bà đi!
Thúy nhìn bà, rồi chỉ vào con búp bê được khâu bằng mụn vải xanh, mặt độn bông, hai con mắt được chấm mực không đều nhau:
- Mẹ mua con búp bê này đi!
Trên đường về, mẹ hỏi Thúy:
- Sao con lại mua con búp bê này?
Thúy cười:
- Vì con thương bà. Bà già bằng bà nội, mẹ nhỉ? Trời lạnh thế mà bà không được ở nhà, Con mua búp bê cho bà vui.",[A],"Ngày sinh nhật Thúy, mẹ tặng cho Thúy món quà gì?",Mẹ cho Thuý ra phố đồ chơi mua món quà em thích nhất.,Mẹ tặng Thuý một con búp bê bằng vải.,Mẹ cho Thuý tiền.,Mẹ cho tiền mua búp bê.
"Ngày sinh nhật Thúy, mẹ đưa Thúy ra phố đồ chơi. Mẹ bảo Thúy chọn một thứ đồ chơi em thích nhất. Đi dọc gần hết phố đồ chơi, cô bé nhìn hoa cả mắt, vẫn không biết nên mua gì vì thứ nào em cũng thích. Đến cuối phố, thấy một bà cụ tóc bạc ngồi bán những con búp bê bằng vải giữa trời giá lạnh, Thúy kéo tay mẹ dừng lại. Bà cụ nhìn hai mẹ con Thúy, cười hiền hậu:
- Cháu mua búp bê cho bà đi!
Thúy nhìn bà, rồi chỉ vào con búp bê được khâu bằng mụn vải xanh, mặt độn bông, hai con mắt được chấm mực không đều nhau:
- Mẹ mua con búp bê này đi!
Trên đường về, mẹ hỏi Thúy:
- Sao con lại mua con búp bê này?
Thúy cười:
- Vì con thương bà. Bà già bằng bà nội, mẹ nhỉ? Trời lạnh thế mà bà không được ở nhà, Con mua búp bê cho bà vui.",[C],Con búp bê Thuý chọn trông như thế nào?,"Khâu bằng bông, mặt bằng vải mụn xanh, hai con mắt chấm mực không đều.","Khâu bằng mụn vải xanh, mặt độn bông, hai mắt đẹp long lanh.","Khâu bằng mụn vải xanh, mặt độn bông, hai mắt chấm mực không đều nhau.","Khâu bằng mụn vải xanh, mặt độn bông."
"Ngày sinh nhật Thúy, mẹ đưa Thúy ra phố đồ chơi. Mẹ bảo Thúy chọn một thứ đồ chơi em thích nhất. Đi dọc gần hết phố đồ chơi, cô bé nhìn hoa cả mắt, vẫn không biết nên mua gì vì thứ nào em cũng thích. Đến cuối phố, thấy một bà cụ tóc bạc ngồi bán những con búp bê bằng vải giữa trời giá lạnh, Thúy kéo tay mẹ dừng lại. Bà cụ nhìn hai mẹ con Thúy, cười hiền hậu:
- Cháu mua búp bê cho bà đi!
Thúy nhìn bà, rồi chỉ vào con búp bê được khâu bằng mụn vải xanh, mặt độn bông, hai con mắt được chấm mực không đều nhau:
- Mẹ mua con búp bê này đi!
Trên đường về, mẹ hỏi Thúy:
- Sao con lại mua con búp bê này?
Thúy cười:
- Vì con thương bà. Bà già bằng bà nội, mẹ nhỉ? Trời lạnh thế mà bà không được ở nhà, Con mua búp bê cho bà vui.",[B],Vì sao Thuý lại mua con búp bê đó?,Vì em thích con búp bê đó.,Vì em thương bà phải bán hàng giữa trời giá lạnh.,Vì đi hết phố đồ chơi mà em không biết mua gì.,Vì em thương mẹ phải bán hàng giữa trời giá lạnh.
"Ngày sinh nhật Thúy, mẹ đưa Thúy ra phố đồ chơi. Mẹ bảo Thúy chọn một thứ đồ chơi em thích nhất. Đi dọc gần hết phố đồ chơi, cô bé nhìn hoa cả mắt, vẫn không biết nên mua gì vì thứ nào em cũng thích. Đến cuối phố, thấy một bà cụ tóc bạc ngồi bán những con búp bê bằng vải giữa trời giá lạnh, Thúy kéo tay mẹ dừng lại. Bà cụ nhìn hai mẹ con Thúy, cười hiền hậu:
- Cháu mua búp bê cho bà đi!
Thúy nhìn bà, rồi chỉ vào con búp bê được khâu bằng mụn vải xanh, mặt độn bông, hai con mắt được chấm mực không đều nhau:
- Mẹ mua con búp bê này đi!
Trên đường về, mẹ hỏi Thúy:
- Sao con lại mua con búp bê này?
Thúy cười:
- Vì con thương bà. Bà già bằng bà nội, mẹ nhỉ? Trời lạnh thế mà bà không được ở nhà, Con mua búp bê cho bà vui.",[B],Tại sao Thuý mua búp bê này?,Vì em thích búp bê này.,Vì thương bà và bà bằng tuổi bà nội.,Vì trời lạnh.,Vì búp bê rất đẹp.
"Ngày sinh nhật Thúy, mẹ đưa Thúy ra phố đồ chơi. Mẹ bảo Thúy chọn một thứ đồ chơi em thích nhất. Đi dọc gần hết phố đồ chơi, cô bé nhìn hoa cả mắt, vẫn không biết nên mua gì vì thứ nào em cũng thích. Đến cuối phố, thấy một bà cụ tóc bạc ngồi bán những con búp bê bằng vải giữa trời giá lạnh, Thúy kéo tay mẹ dừng lại. Bà cụ nhìn hai mẹ con Thúy, cười hiền hậu:
- Cháu mua búp bê cho bà đi!
Thúy nhìn bà, rồi chỉ vào con búp bê được khâu bằng mụn vải xanh, mặt độn bông, hai con mắt được chấm mực không đều nhau:
- Mẹ mua con búp bê này đi!
Trên đường về, mẹ hỏi Thúy:
- Sao con lại mua con búp bê này?
Thúy cười:
- Vì con thương bà. Bà già bằng bà nội, mẹ nhỉ? Trời lạnh thế mà bà không được ở nhà, Con mua búp bê cho bà vui.",[A],Em bé trong bài này tên gì?,Thuý.,Cháu.,Bà.,Mẹ.
"Tối hôm ấy, mẹ đi vắng, dặn Cún trông nhà, không được đi đâu. Chợt Cún nghe có tiếng kêu ngoài sân:

- Cứu tôi với!

Thì ra Cáo già đã tóm được Gà con tội nghiệp.

Cún con sợ Cáo nhưng lại rất thương Gà con. Cún nảy ra một kế. Cậu đội mũ sư tử lên đầu rồi hùng dũng tiến ra sân. Cáo già trông thấy hoảng quá, buông ngay Gà con để chạy thoát thân. Móng vuốt của Cáo cào làm Gà con bị thương. Cún liền ôm Gà con, vượt đường xa, vượt đêm tối, chạy một mạch đến nhà bác sĩ Dê núi. Bác sĩ nhanh chóng băng bó vết thương cho Gà con. Gà con run rẩy vì lạnh và đau, Cún liền cởi áo của mình ra đắp cho bạn. Thế là Gà con được cứu sống. Về nhà, Cún kể lại mọi chuyện cho mẹ nghe. Mẹ liền xoa đầu Cún, khen:

- Con đúng là Cún con dũng cảm! Mẹ rất tự hào về con!",[C],"Thấy Gà con bị Cáo già bắt, Cún con đã làm gì?",Cún con đứng nép vào cánh cửa quan sát.,Cún con không biết làm cách nào vì Cún rất sợ Cáo.,Cún nảy ra một kế là đội mũ sư tử lên đầu rồi hùng dũng tiến ra sân.,Cún con bé nhỏ nên Cún con rất sợ Cáo.
"Tối hôm ấy, mẹ đi vắng, dặn Cún trông nhà, không được đi đâu. Chợt Cún nghe có tiếng kêu ngoài sân:

- Cứu tôi với!

Thì ra Cáo già đã tóm được Gà con tội nghiệp.

Cún con sợ Cáo nhưng lại rất thương Gà con. Cún nảy ra một kế. Cậu đội mũ sư tử lên đầu rồi hùng dũng tiến ra sân. Cáo già trông thấy hoảng quá, buông ngay Gà con để chạy thoát thân. Móng vuốt của Cáo cào làm Gà con bị thương. Cún liền ôm Gà con, vượt đường xa, vượt đêm tối, chạy một mạch đến nhà bác sĩ Dê núi. Bác sĩ nhanh chóng băng bó vết thương cho Gà con. Gà con run rẩy vì lạnh và đau, Cún liền cởi áo của mình ra đắp cho bạn. Thế là Gà con được cứu sống. Về nhà, Cún kể lại mọi chuyện cho mẹ nghe. Mẹ liền xoa đầu Cún, khen:

- Con đúng là Cún con dũng cảm! Mẹ rất tự hào về con!",[B],Vì sao Cáo già lại bỏ Gà con lại và chạy thoát chân?,Vì Cáo nhìn thấy Cún con.,Vì Cáo già rất sợ sư tử.,Vì Cáo già rất sợ Cún con.,Vì Cáo già rất sợ hổ.
"Tối hôm ấy, mẹ đi vắng, dặn Cún trông nhà, không được đi đâu. Chợt Cún nghe có tiếng kêu ngoài sân:

- Cứu tôi với!

Thì ra Cáo già đã tóm được Gà con tội nghiệp.

Cún con sợ Cáo nhưng lại rất thương Gà con. Cún nảy ra một kế. Cậu đội mũ sư tử lên đầu rồi hùng dũng tiến ra sân. Cáo già trông thấy hoảng quá, buông ngay Gà con để chạy thoát thân. Móng vuốt của Cáo cào làm Gà con bị thương. Cún liền ôm Gà con, vượt đường xa, vượt đêm tối, chạy một mạch đến nhà bác sĩ Dê núi. Bác sĩ nhanh chóng băng bó vết thương cho Gà con. Gà con run rẩy vì lạnh và đau, Cún liền cởi áo của mình ra đắp cho bạn. Thế là Gà con được cứu sống. Về nhà, Cún kể lại mọi chuyện cho mẹ nghe. Mẹ liền xoa đầu Cún, khen:

- Con đúng là Cún con dũng cảm! Mẹ rất tự hào về con!",[A],"Thấy Gà con đã bị thương, Cún con đã làm những gì để cứu bạn?","Cún ôm gà con, vượt đường xa, đêm tối để tìm bác sĩ Dê núi.",Cún cởi áo của mình ra đắp cho bạn.,Cún con sợ Cáo và không làm gì để cứu bạn.,Cún con sợ Cáo nhưng đã dũng cảm chống trả.
"Tối hôm ấy, mẹ đi vắng, dặn Cún trông nhà, không được đi đâu. Chợt Cún nghe có tiếng kêu ngoài sân:

- Cứu tôi với!

Thì ra Cáo già đã tóm được Gà con tội nghiệp.

Cún con sợ Cáo nhưng lại rất thương Gà con. Cún nảy ra một kế. Cậu đội mũ sư tử lên đầu rồi hùng dũng tiến ra sân. Cáo già trông thấy hoảng quá, buông ngay Gà con để chạy thoát thân. Móng vuốt của Cáo cào làm Gà con bị thương. Cún liền ôm Gà con, vượt đường xa, vượt đêm tối, chạy một mạch đến nhà bác sĩ Dê núi. Bác sĩ nhanh chóng băng bó vết thương cho Gà con. Gà con run rẩy vì lạnh và đau, Cún liền cởi áo của mình ra đắp cho bạn. Thế là Gà con được cứu sống. Về nhà, Cún kể lại mọi chuyện cho mẹ nghe. Mẹ liền xoa đầu Cún, khen:

- Con đúng là Cún con dũng cảm! Mẹ rất tự hào về con!",[A],Cún liền cởi áo của mình ra để làm gì?,Đắp cho bạn.,Để giặt.,Để phơi.,Để tấn công.
"Tối hôm ấy, mẹ đi vắng, dặn Cún trông nhà, không được đi đâu. Chợt Cún nghe có tiếng kêu ngoài sân:

- Cứu tôi với!

Thì ra Cáo già đã tóm được Gà con tội nghiệp.

Cún con sợ Cáo nhưng lại rất thương Gà con. Cún nảy ra một kế. Cậu đội mũ sư tử lên đầu rồi hùng dũng tiến ra sân. Cáo già trông thấy hoảng quá, buông ngay Gà con để chạy thoát thân. Móng vuốt của Cáo cào làm Gà con bị thương. Cún liền ôm Gà con, vượt đường xa, vượt đêm tối, chạy một mạch đến nhà bác sĩ Dê núi. Bác sĩ nhanh chóng băng bó vết thương cho Gà con. Gà con run rẩy vì lạnh và đau, Cún liền cởi áo của mình ra đắp cho bạn. Thế là Gà con được cứu sống. Về nhà, Cún kể lại mọi chuyện cho mẹ nghe. Mẹ liền xoa đầu Cún, khen:

- Con đúng là Cún con dũng cảm! Mẹ rất tự hào về con!",[A],Mẹ đã khen Cún con điều gì?,Dũng cảm.,Tự tin.,Siêng năng.,Cần cù.
"1. Đời Hùng Vương thứ 18, ở làng Chử Xá bên bờ sông Hồng, có một chàng trai tên là Chử Đồng Tử. Nhà nghèo, mẹ mất sớm, hai cha con chàng chỉ có một chiếc khố mặc chung. Khi cha mất, chàng thương cha nên đã quấn khố chôn cha, còn mình đành ở không.

2. Một hôm, đang mò cá dưới sông, chàng thấy một chiếc thuyền lớn sang trọng tiến dần đến. Đó là thuyền của công chúa Tiên Dung, con gái vua Hùng, đang du ngoạn. Chàng hoảng hốt, chạy tới khóm lau thưa trên bãi, nằm xuống, bới cát phủ lên mình để ẩn trốn. Nào ngờ, công chúa thấy cảnh đẹp, ra lệnh cấm thuyền, lên bãi dạo rồi cho vây màn ở khóm lau mà tắm. Nước giội làm trôi cát đi, để lộ một chàng trai khỏe mạnh. Công chúa rất đỗi bàng hoàng. Nhưng khi biết rõ tình cảnh nhà chàng, nàng rất cảm động và cho là duyên trời sắp đặt, liền mở tiệc ăn mừng và kết duyên với chàng.

3. Sau đó, vợ chồng Chử Đồng Tử không về kinh mà tìm thầy học đạo và đi khắp nơi truyền cho dân cách trồng lúa, nuôi tằm, dệt vải. Cuối cùng cả hai đều hóa lên trời. Sau khi đã về trời, Chử Đồng Tử còn nhiều lần hiển linh giúp dân đánh giặc.

4. Nhân dân ghi nhớ công ơn Chử Đồng Tử, lập đền thờ ở nhiều nơi bên sông Hồng. Cũng từ đó hằng năm, suốt mấy tháng mùa xuân, cả một vùng bờ bãi sông Hồng lại nô nức làm lễ, mở hội để tưởng nhớ ông.",[A],Những nhân vật nào được kể chủ yếu trong câu chuyện này?,Chử Đồng Tử.,Vua Hùng Vương thứ 18.,Dân làng Chử Xá.,Công chúa.
"1. Đời Hùng Vương thứ 18, ở làng Chử Xá bên bờ sông Hồng, có một chàng trai tên là Chử Đồng Tử. Nhà nghèo, mẹ mất sớm, hai cha con chàng chỉ có một chiếc khố mặc chung. Khi cha mất, chàng thương cha nên đã quấn khố chôn cha, còn mình đành ở không.

2. Một hôm, đang mò cá dưới sông, chàng thấy một chiếc thuyền lớn sang trọng tiến dần đến. Đó là thuyền của công chúa Tiên Dung, con gái vua Hùng, đang du ngoạn. Chàng hoảng hốt, chạy tới khóm lau thưa trên bãi, nằm xuống, bới cát phủ lên mình để ẩn trốn. Nào ngờ, công chúa thấy cảnh đẹp, ra lệnh cấm thuyền, lên bãi dạo rồi cho vây màn ở khóm lau mà tắm. Nước giội làm trôi cát đi, để lộ một chàng trai khỏe mạnh. Công chúa rất đỗi bàng hoàng. Nhưng khi biết rõ tình cảnh nhà chàng, nàng rất cảm động và cho là duyên trời sắp đặt, liền mở tiệc ăn mừng và kết duyên với chàng.

3. Sau đó, vợ chồng Chử Đồng Tử không về kinh mà tìm thầy học đạo và đi khắp nơi truyền cho dân cách trồng lúa, nuôi tằm, dệt vải. Cuối cùng cả hai đều hóa lên trời. Sau khi đã về trời, Chử Đồng Tử còn nhiều lần hiển linh giúp dân đánh giặc.

4. Nhân dân ghi nhớ công ơn Chử Đồng Tử, lập đền thờ ở nhiều nơi bên sông Hồng. Cũng từ đó hằng năm, suốt mấy tháng mùa xuân, cả một vùng bờ bãi sông Hồng lại nô nức làm lễ, mở hội để tưởng nhớ ông.",[D],Câu chuyện Chử Đồng Tử thuộc thời đại vua nào?,Vua Hùng Vương thứ 12.,Vua Hùng Vương thứ 6.,Vua Hùng Vương thứ 8.,Vua Hùng Vương thứ 18.
"1. Đời Hùng Vương thứ 18, ở làng Chử Xá bên bờ sông Hồng, có một chàng trai tên là Chử Đồng Tử. Nhà nghèo, mẹ mất sớm, hai cha con chàng chỉ có một chiếc khố mặc chung. Khi cha mất, chàng thương cha nên đã quấn khố chôn cha, còn mình đành ở không.

2. Một hôm, đang mò cá dưới sông, chàng thấy một chiếc thuyền lớn sang trọng tiến dần đến. Đó là thuyền của công chúa Tiên Dung, con gái vua Hùng, đang du ngoạn. Chàng hoảng hốt, chạy tới khóm lau thưa trên bãi, nằm xuống, bới cát phủ lên mình để ẩn trốn. Nào ngờ, công chúa thấy cảnh đẹp, ra lệnh cấm thuyền, lên bãi dạo rồi cho vây màn ở khóm lau mà tắm. Nước giội làm trôi cát đi, để lộ một chàng trai khỏe mạnh. Công chúa rất đỗi bàng hoàng. Nhưng khi biết rõ tình cảnh nhà chàng, nàng rất cảm động và cho là duyên trời sắp đặt, liền mở tiệc ăn mừng và kết duyên với chàng.

3. Sau đó, vợ chồng Chử Đồng Tử không về kinh mà tìm thầy học đạo và đi khắp nơi truyền cho dân cách trồng lúa, nuôi tằm, dệt vải. Cuối cùng cả hai đều hóa lên trời. Sau khi đã về trời, Chử Đồng Tử còn nhiều lần hiển linh giúp dân đánh giặc.

4. Nhân dân ghi nhớ công ơn Chử Đồng Tử, lập đền thờ ở nhiều nơi bên sông Hồng. Cũng từ đó hằng năm, suốt mấy tháng mùa xuân, cả một vùng bờ bãi sông Hồng lại nô nức làm lễ, mở hội để tưởng nhớ ông.",[C],Quê gốc của Chử Đồng Tử ở nơi nào?,"Làng Khương Thượng, Hà Nội.","Làng Ngũ Xá, Hà Nội.","Làng Chử Xá, Hà Nội.","Làng Tiên Điền, Hà Tĩnh."
